"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","fragment.ID","genotype","run","temp.Cat","light_dark","treatment","surf.area.cm2","volume.mls","volume","umol.sec","BLANK","blank.rate"
"123","Blk2_2901",196.736603441433,-0.000114663240783832,28.2734881930901,"Blk2","BLANK","2901",29,"light","BLANK",NA,620,0.62,-7.10912092859761e-05,"1",-4.66344355378892e-06
"124","Blk2_2901D",196.657686239033,-0.000308181024876042,28.1937826323964,"Blk2","BLANK","2901D",29,"dark","BLANK",NA,620,0.62,-0.000191072235423146,"1",-0.000116389094995457
"125","Blk2_2902",210.987407696248,-9.37598796957972e-05,28.4261823989236,"Blk2","BLANK","2902",29,"light","BLANK",NA,620,0.62,-5.81311254113943e-05,"1",-4.7492723859055e-05
"126","Blk2_2902D",210.889976217488,-0.000115235677596138,28.4156011007822,"Blk2","BLANK","2902D",29,"dark","BLANK",NA,620,0.62,-7.14461201096053e-05,"1",-3.71346155437918e-05
"127","Blk2_2903",166.281161384716,-0.000563577846904532,28.2978459911351,"Blk2","BLANK","2903",29,"light","BLANK",NA,620,0.62,-0.00034941826508081,"1",-0.000227655723264749
"128","Blk2_2903D",165.478676353646,-0.000368216798439096,28.263569056381,"Blk2","BLANK","2903D",29,"dark","BLANK",NA,620,0.62,-0.000228294415032239,"1",-0.000147664913416183
"129","Blk2_2904",179.205552932239,-0.000351831532115383,28.6454550039593,"Blk2","BLANK","2904",29,"light","BLANK",NA,620,0.62,-0.000218135549911537,"1",-0.00020282988285513
"130","Blk2_2904D",178.77720980375,-0.000230000741369945,28.4398077166964,"Blk2","BLANK","2904D",29,"dark","BLANK",NA,620,0.62,-0.000142600459649366,"1",-0.000165348491288695
"131","Blk2_2905",171.995545012229,-0.0013923659121641,28.2971198928497,"Blk2","BLANK","2905",29,"light","BLANK",NA,620,0.62,-0.000863266865541741,"1",-0.00149487215639374
"132","Blk2_2905D",169.840032076182,-0.00156976377539564,28.2473655755853,"Blk2","BLANK","2905D",29,"dark","BLANK",NA,620,0.62,-0.000973253540745296,"1",-0.000930057451079428
"133","Blk2_2906",172.050603929819,-0.00201087150052084,28.1044689933332,"Blk2","BLANK","2906",29,"light","BLANK",NA,620,0.62,-0.00124674033032292,"1",-0.00116399261891965
"134","Blk2_2906D",170.046425395645,-0.0018261596015985,28.1386942642117,"Blk2","BLANK","2906D",29,"dark","BLANK",NA,620,0.62,-0.00113221895299107,"1",-0.00109114408591509
"135","Blk2_3001",165.002636171533,-0.00206069920885345,29.0193899138601,"Blk2","BLANK","3001",30,"light","BLANK",NA,620,0.62,-0.00127763350948914,"1",-0.00136760501875597
"136","Blk2_3001D",162.766954258079,-0.00213807300807243,29.0498103407341,"Blk2","BLANK","3001D",30,"dark","BLANK",NA,620,0.62,-0.0013256052650049,"1",-0.00145734177648571
"137","Blk2_3002",160.479200216879,-0.00283123651271081,29.4256983636515,"Blk2","BLANK","3002",30,"light","BLANK",NA,620,0.62,-0.0017553666378807,"1",-0.00185908660598495
"138","Blk2_3002D",157.245103298108,-0.00269442942928006,29.4273155766887,"Blk2","BLANK","3002D",30,"dark","BLANK",NA,620,0.62,-0.00167054624615364,"1",-0.00177111203798876
"139","Blk2_3003",140.192739141299,-0.00305066096945625,29.2281655985016,"Blk2","BLANK","3003",30,"light","BLANK",NA,620,0.62,-0.00189140980106288,"1",-0.00198524759884566
"140","Blk2_3003D",136.868060009727,-0.00282177390491946,29.2700848338655,"Blk2","BLANK","3003D",30,"dark","BLANK",NA,620,0.62,-0.00174949982105007,"1",-0.00186499962690864
"141","Blk2_3004",133.423570269913,-0.0040651165643619,29.3483887896843,"Blk2","BLANK","3004",30,"light","BLANK",NA,620,0.62,-0.00252037226990438,"1",-0.00230526694598057
"142","Blk2_3004D",137.226643346683,-0.00354311024074544,29.2774955320595,"Blk2","BLANK","3004D",30,"dark","BLANK",NA,620,0.62,-0.00219672834926217,"1",-0.00219291127549974
"143","Blk2_3005",131.24378861192,-0.00403974483224816,29.1248282060557,"Blk2","BLANK","3005",30,"light","BLANK",NA,620,0.62,-0.00250464179599386,"1",-0.00244882350663001
"144","Blk2_3005D",126.830120166343,-0.00397518776841857,29.1615780918639,"Blk2","BLANK","3005D",30,"dark","BLANK",NA,620,0.62,-0.00246461641641951,"1",-0.00237600533702276
